N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
62,코웨이,"68,300","1,500",-2.15%,500,"50,405","73,800",60.90,"495,326",14.11,30.74,
63,대한항공,"28,500",200,-0.70%,"5,000","49,650","174,210",11.34,"1,841,480",-8.38,-22.09,
64,현대건설,"42,000",750,+1.82%,"5,000","46,769","111,356",18.83,"642,907",20.48,6.30,
65,한미사이언스,"68,300",300,-0.44%,500,"45,969","67,305",1.63,"184,283",310.45,4.73,
66,녹십자,"391,500","15,500",-3.81%,"5,000","45,753","11,687",20.07,"352,431",105.02,-0.35,
67,유한양행,"64,800",0,0.00%,"1,000","45,342","69,973",19.72,"250,105",24.96,2.43,
68,SK케미칼,"375,500","6,000",+1.62%,"5,000","44,089","11,741",21.79,"360,145",17.13,1.51,
69,두산중공업,"11,400",100,-0.87%,"5,000","42,709","374,637",10.54,"2,071,627",-2.46,-14.73,
70,동서,"42,200","2,450",+6.16%,500,"42,073","99,700",4.41,"491,744",30.43,10.53,
71,신풍제약,"79,000","3,500",+4.64%,500,"41,858","52,985",11.15,"1,325,507",774.51,2.57,
72,맥쿼리인프라,"11,200",0,0.00%,0,"41,686","372,192",14.53,"921,415",N/A,N/A,
73,한미약품,"345,000","6,000",-1.71%,"2,500","41,670","12,078",13.56,"77,396","-3,349.51",7.30,
74,현대중공업지주,"262,000","1,500",-0.57%,"5,000","41,392","15,799",17.45,"51,684",-79.37,2.20,
75,삼성중공업,"6,560",50,+0.77%,"5,000","41,328","630,000",15.10,"3,303,967",-3.31,-21.88,
76,현대차2우B,"110,000",500,-0.45%,"5,000","40,134","36,485",61.45,"165,467",26.28,N/A,
77,CJ대한통운,"170,500","1,000",-0.58%,"5,000","38,895","22,812",21.44,"71,151",30.74,1.41,
78,두산퓨얼셀,"59,200","1,000",-1.66%,100,"38,772","65,494",20.26,"1,311,120",173.61,N/A,
79,한진칼,"57,400",400,+0.70%,"2,500","38,035","66,263",15.41,"66,731",-9.47,-17.56,
80,일진머티리얼즈,"81,000",200,+0.25%,500,"37,350","46,111",8.64,"349,192",84.02,8.52,
81,키움증권,"144,000",500,+0.35%,"5,000","37,266","25,879",22.52,"239,666",6.36,16.97,
82,삼성카드,"32,000",400,+1.27%,"5,000","37,075","115,859",10.78,"152,086",9.00,5.04,
83,한국항공우주,"37,600",600,+1.62%,"5,000","36,651","97,475",14.07,"1,829,439",27.69,15.84,
84,GS,"38,950",800,-2.01%,"5,000","36,191","92,915",19.07,"590,635",-42.25,6.26,
85,두산밥캣,"35,600",550,+1.57%,500,"35,689","100,249",23.06,"252,702",19.26,7.05,
86,롯데지주,"33,850",250,-0.73%,200,"35,512","104,909",11.23,"205,102",-4.95,-5.21,
87,쌍용양회,"6,980",10,-0.14%,100,"35,169","503,860",2.81,"1,652,702",28.03,7.02,
88,LG화학우,"447,000","7,000",+1.59%,"5,000","34,369","7,689",64.25,"33,712",41.76,N/A,
89,삼성증권,"38,350",50,-0.13%,"5,000","34,247","89,300",26.19,"440,046",7.28,8.15,
90,롯데쇼핑,"118,500",500,-0.42%,"5,000","33,522","28,289",11.98,"185,206",-2.50,-8.14,
91,만도,"70,100","1,100",+1.59%,"1,000","32,917","46,957",24.60,"450,337",-59.36,7.55,
92,호텔신라,"82,300","1,300",-1.56%,"5,000","32,301","39,248",18.53,"641,816",-24.98,20.16,
93,GS건설,"38,450",50,+0.13%,"5,000","32,078","83,428",27.31,"723,613",10.06,11.79,
94,NH투자증권,"11,350",50,-0.44%,"5,000","31,940","281,409",15.54,"840,159",5.52,9.12,
95,더존비즈온,"104,000","1,000",-0.95%,500,"31,398","30,190",45.60,"87,344",64.64,18.78,
96,에스원,"82,200","1,600",+1.99%,500,"31,235","37,999",56.11,"66,231",21.63,11.32,
97,한국가스공사,"33,000",600,-1.79%,"5,000","30,463","92,313",8.97,"426,543",-6.07,0.48,
98,OCI,"122,500","1,500",-1.21%,"5,000","29,215","23,849",20.76,"497,637",-3.96,-26.20,
99,포스코인터내셔널,"23,600",450,+1.94%,"5,000","29,117","123,375",9.07,"9,797,794",13.02,7.06,
100,팬오션,"5,310",300,+5.99%,"1,000","28,386","534,570",11.60,"13,671,577",20.99,5.49,
101,대우조선해양,"26,400",300,+1.15%,"5,000","28,325","107,291",9.25,"161,669",16.25,-1.22,
